Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Exit_Price,PnL,Slippage,PnL w cs,Cumulative_PnL
159,2023-12-22 13:00:00+05:30,2024-01-03 17:00:00+05:30,Long,63035.0,62585,-450.0,125.62,-575.62,11557.151000000005
160,2024-01-08 13:00:00+05:30,2024-01-12 17:00:00+05:30,Short,62050.0,62610,-560.0,124.66,-684.66,10872.491000000005
161,2024-01-17 09:00:00+05:30,2024-01-24 13:00:00+05:30,Short,61817.0,62160,-343.0,123.977,-466.977,10405.514000000005
162,2024-02-01 21:00:00+05:30,2024-02-05 13:00:00+05:30,Long,62958.0,62327,-631.0,125.285,-756.285,9649.229000000005
163,2024-02-13 17:00:00+05:30,2024-02-19 09:00:00+05:30,Short,61486.0,62062,-576.0,123.548,-699.548,8949.681000000004
164,2024-03-01 13:00:00+05:30,2024-04-22 21:00:00+05:30,Long,62784.0,71190,8406.0,133.974,8272.026,17221.707000000002
164,2024-03-21 09:00:00+05:30,2024-04-22 21:00:00+05:30,Add_Long,66030.0,71190,5160.0,137.22,5022.78,22244.487
165,2024-04-23 09:00:00+05:30,2024-04-24 17:00:00+05:30,Short,70590.0,71217,-627.0,141.80700000000002,-768.807,21475.68
166,2024-04-30 17:00:00+05:30,2024-05-06 09:00:00+05:30,Short,70545.0,71120,-575.0,141.665,-716.665,20759.015
167,2024-05-10 09:00:00+05:30,2024-05-23 09:00:00+05:30,Long,72564.0,72320,-244.0,144.88400000000001,-388.884,20370.131
168,2024-05-23 21:00:00+05:30,2024-05-31 09:00:00+05:30,Short,71510.0,72245,-735.0,143.755,-878.755,19491.376
169,2024-06-03 09:00:00+05:30,2024-06-03 21:00:00+05:30,Short,71580.0,72211,-631.0,143.791,-774.7909999999999,18716.585
170,2024-06-07 09:00:00+05:30,2024-06-07 13:00:00+05:30,Long,73170.0,72029,-1141.0,145.199,-1286.199,17430.386
171,2024-06-10 09:00:00+05:30,2024-06-14 13:00:00+05:30,Short,70999.0,71833,-834.0,142.832,-976.832,16453.554
172,2024-06-21 13:00:00+05:30,2024-06-21 17:00:00+05:30,Long,72801.0,71784,-1017.0,144.585,-1161.585,15291.969000000001
173,2024-07-05 17:00:00+05:30,2024-07-19 17:00:00+05:30,Long,73074.0,73074,0.0,146.148,-146.148,15145.821000000002
174,2024-07-23 09:00:00+05:30,2024-08-01 17:00:00+05:30,Short,70039.0,70155,-116.0,140.19400000000002,-256.194,14889.627000000002
175,2024-08-05 13:00:00+05:30,2024-08-08 21:00:00+05:30,Short,69190.0,69700,-510.0,138.89000000000001,-648.89,14240.737000000003
176,2024-08-12 09:00:00+05:30,2024-09-03 13:00:00+05:30,Long,70085.0,71525,1440.0,141.61,1298.3899999999999,15539.127000000002
177,2024-09-12 17:00:00+05:30,2024-10-08 17:00:00+05:30,Long,72836.0,75040,2204.0,147.876,2056.124,17595.251000000004
